agent_id,from_node_id,to_node_id,timestamp,cumu_distance,hhmmss,trace_id,travel_time,delay,geometry
3,1320,850,66118,7932.67,1821:58,166,0,0,"LINESTRING (-112.036548 33.4486508, -112.0365899 33.4492366, -112.0365907 33.4495833, -112.0365874 33.4498567, -112.0365626 33.4501459, -112.0365435 33.4503258, -112.0364267 33.4512468)"
3,850,789,66118,7965.37,1821:58,166,0,0,"LINESTRING (-112.0364267 33.4512468, -112.0363848 33.4515388)"
3,789,785,66118,8413.08,1821:58,166,0,0,"LINESTRING (-112.0363848 33.4515388, -112.0362848 33.4520347, -112.0362639 33.4523062, -112.0362462 33.4527213, -112.0362398 33.4531726, -112.0362734 33.4535931, -112.0363386 33.4540148, -112.0364334 33.4546664, -112.0365537 33.4555424)"
3,785,820,66139,8768.74,1822:19,167,21,0,"LINESTRING (-112.0365537 33.4555424, -112.0366047 33.4569343, -112.0366316 33.4575429, -112.0366056 33.4587397)"
3,820,711,66139,9134.01,1822:19,167,0,0,"LINESTRING (-112.0366056 33.4587397, -112.0365651 33.4595159, -112.0365545 33.4597867, -112.036559 33.4599259, -112.0365636 33.4600524, -112.0365839 33.4602562, -112.0366166 33.4604468, -112.0367319 33.4608759, -112.0369428 33.4613705, -112.0372552 33.4619215)"
3,711,819,66139,9174.90,1822:19,167,0,0,"LINESTRING (-112.0372552 33.4619215, -112.0374263 33.4622604)"
3,819,756,66139,9500.57,1822:19,167,0,0,"LINESTRING (-112.0374263 33.4622604, -112.0375315 33.4626784, -112.037583 33.4630365, -112.0375936 33.4633012, -112.0375644 33.4635752, -112.0375301 33.4637945, -112.037503 33.46419, -112.0375161 33.4645396, -112.0376145 33.4651683)"
3,756,1349,66139,9573.81,1822:19,167,0,0,"LINESTRING (-112.0376145 33.4651683, -112.0377015 33.4653087, -112.0377629 33.4654453, -112.0378312 33.4655466, -112.0378934 33.46564, -112.0380031 33.4657346)"
3,1349,1367,66139,9583.26,1822:19,167,0,0,"LINESTRING (-112.0380031 33.4657346, -112.0380894 33.4657798)"
3,1367,1369,66139,9594.31,1822:19,167,0,0,"LINESTRING (-112.0380894 33.4657798, -112.0381912 33.4658313)"
3,1369,1370,66139,9603.85,1822:19,167,0,0,"LINESTRING (-112.0381912 33.4658313, -112.0380995 33.4658703)"
3,1370,1357,66139,9610.44,1822:19,167,0,0,"LINESTRING (-112.0380995 33.4658703, -112.0380362 33.4658972)"
3,1357,759,66139,9683.92,1822:19,167,0,0,"LINESTRING (-112.0380362 33.4658972, -112.0379006 33.4660073, -112.0377979 33.4661291, -112.0377429 33.4662218, -112.0377163 33.466285, -112.0376932 33.4663531, -112.0376718 33.4664645)"
