name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,from_biway
,1517,23714781,816,1886,1,199.1878889,1,59,,motorway,1,"LINESTRING (-112.1083224 33.4501203, -112.1083901 33.4497735, -112.1084298 33.449452, -112.1084881 33.4490351, -112.1085418 33.4486182, -112.1085732 33.4483417)",0
Papago Freeway,1518,28234534,725,718,1,1179.474611,4,65,,motorway,1,"LINESTRING (-112.0456301 33.4618093, -112.0409339 33.4617858, -112.0404059 33.461738, -112.0400025 33.4616592, -112.039642 33.461559, -112.0393245 33.4614229, -112.0389039 33.4611795, -112.0386226 33.4609858, -112.0383116 33.460714, -112.0380627 33.4604419, -112.0378482 33.4601412, -112.0376937 33.4598619, -112.0375821 33.4595325, -112.0375134 33.4592389, -112.0374638 33.4588949, -112.0374588 33.4579432, -112.0375098 33.4567046)",0
,1521,28885499,1315,822,1,28.82261147,1,45,,motorway,1,"LINESTRING (-112.0369377 33.444417, -112.0368813 33.4446719)",0
,1522,28885500,822,1318,1,129.3735007,1,45,,motorway,1,"LINESTRING (-112.0368813 33.4446719, -112.0367813 33.4451583, -112.0367222 33.4455385, -112.0366779 33.4458227)",0
Papago Freeway,1523,28885504,791,845,1,257.3625016,5,65,,motorway,1,"LINESTRING (-112.0371312 33.4447553, -112.0371207 33.4470698)",0
Papago Freeway,1552,29320919,1841,662,1,520.3286242,5,65,,motorway,1,"LINESTRING (-112.0665452 33.4621324, -112.0662498 33.462109, -112.0648726 33.4619994, -112.0640395 33.4619345, -112.0632137 33.4618725, -112.0623735 33.4618137, -112.0617753 33.4617689, -112.0609567 33.4617401)",0
South 19th Avenue,1574,29917016,1717,540,1,61.59523188,3,39,,primary,3,"LINESTRING (-112.1001171 33.4475436, -112.1001125 33.4472208, -112.1001107 33.4470923, -112.1001092 33.4469897)",1
South 19th Avenue,1575,29917016,540,1717,1,61.59523188,2,39,,primary,3,"LINESTRING (-112.1001092 33.4469897, -112.1001107 33.4470923, -112.1001125 33.4472208, -112.1001171 33.4475436)",1
Papago Freeway,1679,30021829,845,624,1,72.40700887,5,65,,motorway,1,"LINESTRING (-112.0371207 33.4470698, -112.037088 33.4477204)",0
,1680,30021838,846,792,1,161.6250481,1,65,,motorway,1,"LINESTRING (-112.0373322 33.4470681, -112.0373212 33.4485216)",0
,1681,30021843,847,787,1,255.8575423,1,65,,motorway,1,"LINESTRING (-112.0373872 33.4470585, -112.037399 33.4465658, -112.0374311 33.4462432, -112.0374618 33.4458579, -112.037596 33.4447653)",0
,1682,30021845,784,847,1,163.0349518,1,65,,motorway,1,"LINESTRING (-112.0373812 33.4485247, -112.0373872 33.4470585)",0
Papago Freeway,1683,30021847,848,787,1,255.1021132,4,65,,motorway,1,"LINESTRING (-112.0375775 33.4470594, -112.0375794 33.4458632, -112.037596 33.4447653)",0
Papago Freeway,1684,30021848,849,848,1,167.5710342,4,65,,motorway,1,"LINESTRING (-112.0375808 33.4485664, -112.0375775 33.4470594)",0
Papago Freeway,1685,30021873,1966,853,1,292.7752071,4,65,,motorway,1,"LINESTRING (-112.0371057 33.4485412, -112.0371135 33.4492903, -112.0371009 33.4503845, -112.0371061 33.4511741)",0
,1686,30021879,792,855,1,293.2028482,1,65,,motorway,1,"LINESTRING (-112.0373212 33.4485216, -112.0373131 33.4502577, -112.0373116 33.450743, -112.0373167 33.4511584)",0
,1687,30021897,850,789,1,32.7007929,2,59,,motorway,1,"LINESTRING (-112.0364267 33.4512468, -112.0363848 33.4515388)",0
,1688,30021898,789,785,1,447.7113798,1,59,,motorway,1,"LINESTRING (-112.0363848 33.4515388, -112.0362848 33.4520347, -112.0362639 33.4523062, -112.0362462 33.4527213, -112.0362398 33.4531726, -112.0362734 33.4535931, -112.0363386 33.4540148, -112.0364334 33.4546664, -112.0365537 33.4555424)",0
Piestewa Freeway,1689,30021900,851,852,1,55.04788878,2,55,,motorway,1,"LINESTRING (-112.0367849 33.4511644, -112.0367283 33.4516572)",0
Piestewa Freeway,1690,30021903,852,785,1,433.1785031,2,55,,motorway,1,"LINESTRING (-112.0367283 33.4516572, -112.0366502 33.4521679, -112.036602 33.4525578, -112.0365422 33.4530541, -112.0365164 33.4534453, -112.0365112 33.4537336, -112.0364972 33.4540058, -112.036501 33.4544326, -112.0365537 33.4555424)",0
Papago Freeway,1691,30021910,853,854,1,65.27412259,4,65,,motorway,1,"LINESTRING (-112.0371061 33.4511741, -112.0370997 33.4517611)",0
Papago Freeway,1692,30021911,854,717,1,527.0591132,4,65,,motorway,1,"LINESTRING (-112.0370997 33.4517611, -112.0370406 33.4565008)",0
Papago Freeway,1693,30021911,717,719,1,1285.106654,4,65,,motorway,1,"LINESTRING (-112.0370406 33.4565008, -112.037007 33.4588666, -112.0370671 33.4592962, -112.0371806 33.4597112, -112.0373074 33.4600481, -112.0375068 33.4603987, -112.0377108 33.4606854, -112.0379531 33.46095, -112.038266 33.4611866, -112.0385627 33.4614011, -112.0387693 33.4615373, -112.0390007 33.4616709, -112.0394846 33.4618619, -112.0400513 33.4620315, -112.0404838 33.4621064, -112.0410331 33.4621447, -112.0443752 33.4621677, -112.0450601 33.4621765, -112.0458437 33.4622046)",0
,1694,30021914,855,793,1,431.7251342,1,65,,motorway,1,"LINESTRING (-112.0373167 33.4511584, -112.0373165 33.4517634, -112.0372974 33.4524882, -112.0372703 33.4527156, -112.037242 33.4528698, -112.03719 33.4531085, -112.037137 33.4533149, -112.0370638 33.45355, -112.0369801 33.4537819, -112.0368798 33.4540452, -112.0368333 33.4542069, -112.0368001 33.4543337, -112.0367515 33.4545917, -112.036714 33.4547862, -112.036699 33.4549846)",0
,1695,30021922,856,784,1,292.1673145,1,65,,motorway,1,"LINESTRING (-112.0373868 33.4511522, -112.0373879 33.4507738, -112.0373906 33.4502501, -112.0373812 33.4485247)",0
,1696,30021930,857,3,1,62.39689662,1,59,,motorway,1,"LINESTRING (-112.0375987 33.4517466, -112.0376398 33.4511865)",0
Papago Freeway,1697,30021935,1851,849,1,205.9840759,4,65,,motorway,1,"LINESTRING (-112.0375785 33.4504188, -112.0375841 33.450224, -112.0375817 33.4495523, -112.0375808 33.4485664)",0
Papago Freeway,1698,30021936,859,858,1,79.14452239,5,65,,motorway,1,"LINESTRING (-112.0375453 33.4517407, -112.0375636 33.4510291)",0
,1699,30021966,790,860,1,69.97644566,1,59,,motorway,1,"LINESTRING (-112.0364904 33.4524777, -112.0366763 33.4530876)",0
,1700,30021967,860,717,1,381.8978016,1,59,,motorway,1,"LINESTRING (-112.0366763 33.4530876, -112.0368545 33.4538262, -112.0369354 33.4543771, -112.036948 33.4545692, -112.0369611 33.454921, -112.0369611 33.4551494, -112.0369587 33.4552592, -112.0370406 33.4565008)",0
,1701,30022001,793,711,1,779.4021588,1,55,,motorway,1,"LINESTRING (-112.036699 33.4549846, -112.0366716 33.4554004, -112.036677 33.4556841, -112.0367317 33.4579187, -112.0366802 33.4594654, -112.0366802 33.4600526, -112.0367317 33.4604965, -112.0368432 33.4609548, -112.0372552 33.4619215)",0
,1702,30022003,783,856,1,435.1757869,1,65,,motorway,1,"LINESTRING (-112.0367725 33.4550068, -112.0368056 33.4547381, -112.0368449 33.4545204, -112.0368889 33.454366, -112.0369457 33.4541635, -112.0370099 33.4540036, -112.0371028 33.4537568, -112.037161 33.4535981, -112.0372434 33.4533092, -112.0372941 33.4531122, -112.0373359 33.4529104, -112.0373677 33.4526659, -112.0373858 33.4524424, -112.0373835 33.4517626, -112.0373868 33.4511522)",0
