name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,VDF_fftt1
East 5th Street,47,5619424,194,97,,116.4781031,1,30,,tertiary,5,"LINESTRING (-111.938161 33.4254954, -111.9382749 33.4254956, -111.9382883 33.4254956, -111.9388368 33.4254969, -111.9390426 33.4254967, -111.9392877 33.4254971, -111.9394161 33.4254973)",auto,1,0.232956206
East 5th Street,48,5619424,194,59,,138.1483542,1,30,,tertiary,5,"LINESTRING (-111.938161 33.4254954, -111.9380281 33.4254952, -111.9367711 33.4254993, -111.9366724 33.4254992)",auto,1,0.276296708
East 5th Street,49,5619424,59,194,,138.1483542,1,30,,tertiary,5,"LINESTRING (-111.9366724 33.4254992, -111.9367711 33.4254993, -111.9380281 33.4254952, -111.938161 33.4254954)",auto,1,0.276296708
South McAllister Avenue,50,5624529,294,43,,170.3222164,1,29,,tertiary,5,"LINESTRING (-111.928844 33.4180457, -111.9288373 33.4178241, -111.9288318 33.4176416, -111.9288935 33.4173718, -111.9290271 33.4170735, -111.9292471 33.4167849, -111.9294043 33.4166443)",auto,1,0.352390792
South McAllister Avenue,51,5624529,43,294,,170.3222164,1,29,,tertiary,5,"LINESTRING (-111.9294043 33.4166443, -111.9292471 33.4167849, -111.9290271 33.4170735, -111.9288935 33.4173718, -111.9288318 33.4176416, -111.9288373 33.4178241, -111.928844 33.4180457)",auto,1,0.352390792
South Packard Drive,52,5630444,15,58,,486.7013023,1,29,,unclassified,11,"LINESTRING (-111.9290798 33.4242989, -111.9291154 33.4243892, -111.9292331 33.4246528, -111.9292598 33.4248052, -111.92926 33.4248931, -111.9292601 33.4249516, -111.929282 33.4267113, -111.929292 33.4273267, -111.9293027 33.4279796, -111.9293051 33.4285424, -111.9293052 33.4285703, -111.9293057 33.4286516)",auto,1,1.006968212
South Packard Drive,53,5630444,58,15,,486.7013023,1,29,,unclassified,11,"LINESTRING (-111.9293057 33.4286516, -111.9293052 33.4285703, -111.9293051 33.4285424, -111.9293027 33.4279796, -111.929292 33.4273267, -111.929282 33.4267113, -111.9292601 33.4249516, -111.92926 33.4248931, -111.9292598 33.4248052, -111.9292331 33.4246528, -111.9291154 33.4243892, -111.9290798 33.4242989)",auto,1,1.006968212
East 8th Street,54,5636208,36,383,,802.4824262,1,30,,tertiary,5,"LINESTRING (-111.9262379 33.4209763, -111.9261191 33.4209521, -111.9243772 33.4205887, -111.9242516 33.4205624, -111.9241712 33.4205457, -111.923925 33.4204935, -111.9231271 33.4203242, -111.9228355 33.4202623, -111.9211439 33.4199033, -111.9206349 33.4197953, -111.9202301 33.419729, -111.9201469 33.4197154, -111.9200675 33.4197066, -111.9189449 33.4195817, -111.9187782 33.4195632, -111.9184474 33.4195264, -111.9181661 33.4194884, -111.9178 33.4194389)",auto,1,1.604964852
East 8th Street,55,5636208,383,36,,802.4824262,1,30,,tertiary,5,"LINESTRING (-111.9178 33.4194389, -111.9181661 33.4194884, -111.9184474 33.4195264, -111.9187782 33.4195632, -111.9189449 33.4195817, -111.9200675 33.4197066, -111.9201469 33.4197154, -111.9202301 33.419729, -111.9206349 33.4197953, -111.9211439 33.4199033, -111.9228355 33.4202623, -111.9231271 33.4203242, -111.923925 33.4204935, -111.9241712 33.4205457, -111.9242516 33.4205624, -111.9243772 33.4205887, -111.9261191 33.4209521, -111.9262379 33.4209763)",auto,1,1.604964852
South Forest Avenue,56,5640924,312,313,,142.0631945,1,15,,residential,6,"LINESTRING (-111.936655 33.4174833, -111.9366529 33.4173851, -111.9366318 33.4164108, -111.9366289 33.4162774, -111.9366276 33.4162059)",auto,1,0.568252778
South Forest Avenue,57,5640924,313,312,,142.0631945,1,15,,residential,6,"LINESTRING (-111.9366276 33.4162059, -111.9366289 33.4162774, -111.9366318 33.4164108, -111.9366529 33.4173851, -111.936655 33.4174833)",auto,1,0.568252778
South Forest Avenue,58,5640924,313,384,,134.0997773,1,15,,residential,6,"LINESTRING (-111.9366276 33.4162059, -111.9366262 33.4161337, -111.9366235 33.4159544, -111.9366159 33.4154174, -111.9366121 33.4151484, -111.9366113 33.4150834, -111.9366102 33.415)",auto,1,0.536399109
South Forest Avenue,59,5640924,384,313,,134.0997773,1,15,,residential,6,"LINESTRING (-111.9366102 33.415, -111.9366113 33.4150834, -111.9366121 33.4151484, -111.9366159 33.4154174, -111.9366235 33.4159544, -111.9366262 33.4161337, -111.9366276 33.4162059)",auto,1,0.536399109
West Howe Street,60,5640993,12,385,,70.44556337,1,29,,residential,6,"LINESTRING (-111.944241 33.4168222, -111.9443327 33.4168225, -111.9448138 33.4168241, -111.945 33.4168248)",auto,1,0.145749441
West Howe Street,61,5640993,385,12,,70.44556337,1,29,,residential,6,"LINESTRING (-111.945 33.4168248, -111.9448138 33.4168241, -111.9443327 33.4168225, -111.944241 33.4168222)",auto,1,0.145749441
East 10th Street,62,5643860,63,135,,161.1625469,1,29,,residential,6,"LINESTRING (-111.9381178 33.419078, -111.9387912 33.4190679, -111.9394774 33.4190577, -111.9396092 33.4190557, -111.9398053 33.4190582, -111.939854 33.4190575)",auto,1,0.333439752
East 10th Street,63,5643860,135,63,,161.1625469,1,29,,residential,6,"LINESTRING (-111.939854 33.4190575, -111.9398053 33.4190582, -111.9396092 33.4190557, -111.9394774 33.4190577, -111.9387912 33.4190679, -111.9381178 33.419078)",auto,1,0.333439752
East 10th Street,64,5643860,135,337,,3.777795766,1,29,,residential,6,"LINESTRING (-111.939854 33.4190575, -111.9398947 33.419057)",auto,1,0.007816129
East 10th Street,65,5643860,337,135,,3.777795766,1,29,,residential,6,"LINESTRING (-111.9398947 33.419057, -111.939854 33.4190575)",auto,1,0.007816129
East 10th Street,66,5643860,337,339,,7.973537076,1,29,,residential,6,"LINESTRING (-111.9398947 33.419057, -111.9399806 33.4190558)",auto,1,0.016496973
