from_node_id,to_node_id,cell_id,FFTT_in_sec,distance,o_distance,d_distance,accessbility_time,hit_count,use_count,benefit,geometry
3,329,-22388993315,6,0.005000,999999.000000,999999.000000,50,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9442814 33.4254737, -111.9446893 33.4254741)"
329,3,-22388993315,6,0.005000,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9446893 33.4254741, -111.9442814 33.4254737)"
187,71,-22388993315,6,0.005000,999999.000000,999999.000000,64,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9434283 33.4295304, -111.9434575 33.4295241)"
71,187,-22388993315,6,0.005000,999999.000000,999999.000000,83,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9434575 33.4295241, -111.9434283 33.4295304)"
71,95,-22388993315,6,0.005000,999999.000000,999999.000000,65,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9434575 33.4295241, -111.9435008 33.42952)"
95,71,-22388993315,6,0.005000,999999.000000,999999.000000,67,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9435008 33.42952, -111.9434575 33.4295241)"
95,81,-22388993315,6,0.005000,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9435008 33.42952, -111.9435847 33.4295124)"
81,95,-22388993315,6,0.005000,999999.000000,999999.000000,66,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9435847 33.4295124, -111.9435008 33.42952)"
81,1,-22388993315,7,0.000441,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155)"
1,81,-22388993315,7,0.000373,999999.000000,999999.000000,65,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9442567 33.4295155, -111.9438891 33.4295138, -111.9435847 33.4295124)"
390,178,-22387993314,6,0.005000,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.9351443 33.4302, -111.9349285 33.4300573)"
199,391,-22387993317,6,0.005000,999999.000000,999999.000000,999999,0,0,0.000000,-92559631349317830736831783200707727132248687965119994463780864.000000,"LINESTRING (-111.939969 33.4151097, -111.9399682 33.4150687, -111.9399674 33.415)"
